Date,Public Health Unit,Cases by episode date,Cases rate by episode date,Cases by reported date,Cases rate by reported date,Hospitalizations by episode date,Hospitalizations rate by episode date,Hospitalizations by reported date,Hospalizations rate by reported date,Deaths,Deaths rate
15-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
16-01-2020,Ontario,1,0,0,0,0,0,0,0,0,0
17-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
18-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
19-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
20-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
21-01-2020,Ontario,2,0,0,0,1,0,0,0,0,0
22-01-2020,Ontario,3,0,0,0,0,0,0,0,0,0
23-01-2020,Ontario,0,0,2,0,0,0,1,0,0,0
24-01-2020,Ontario,2,0,1,0,0,0,0,0,0,0
25-01-2020,Ontario,1,0,0,0,0,0,0,0,0,0
26-01-2020,Ontario,1,0,0,0,1,0,0,0,0,0
27-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
28-01-2020,Ontario,1,0,0,0,0,0,0,0,0,0
29-01-2020,Ontario,1,0,0,0,0,0,0,0,0,0
30-01-2020,Ontario,0,0,0,0,0,0,0,0,0,0
31-01-2020,Ontario,1,0,0,0,0,0,0,0,0,0
01-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
02-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
03-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
04-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
05-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
06-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
07-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
08-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
09-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
10-02-2020,Ontario,2,0,0,0,0,0,0,0,0,0
11-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
12-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
13-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
14-02-2020,Ontario,2,0,0,0,0,0,0,0,0,0
15-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
16-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
17-02-2020,Ontario,2,0,0,0,0,0,0,0,0,0
18-02-2020,Ontario,0,0,0,0,0,0,0,0,0,0
19-02-2020,Ontario,1,0,0,0,0,0,0,0,0,0
20-02-2020,Ontario,5,0,0,0,1,0,0,0,0,0
21-02-2020,Ontario,1,0,1,0,1,0,0,0,0,0
22-02-2020,Ontario,5,0,0,0,1,0,0,0,0,0
23-02-2020,Ontario,5,0,0,0,2,0,0,0,0,0
24-02-2020,Ontario,4,0,0,0,0,0,0,0,0,0
25-02-2020,Ontario,3,0,1,0,1,0,0,0,0,0
26-02-2020,Ontario,2,0,1,0,0,0,0,0,0,0
27-02-2020,Ontario,2,0,2,0,0,0,0,0,0,0
28-02-2020,Ontario,5,0,5,0,1,0,0,0,0,0
29-02-2020,Ontario,5,0,4,0,1,0,1,0,0,0
01-03-2020,Ontario,23,0.2,2,0,6,0,0,0,0,0
02-03-2020,Ontario,15,0.1,0,0,1,0,0,0,0,0
03-03-2020,Ontario,13,0.1,2,0,0,0,0,0,0,0
04-03-2020,Ontario,14,0.1,1,0,3,0,1,0,0,0
05-03-2020,Ontario,25,0.2,4,0,6,0,1,0,0,0
06-03-2020,Ontario,34,0.2,2,0,8,0.1,2,0,0,0
07-03-2020,Ontario,32,0.2,3,0,5,0,0,0,0,0
08-03-2020,Ontario,52,0.3,5,0,6,0,1,0,0,0
09-03-2020,Ontario,67,0.5,5,0,13,0.1,0,0,0,0
10-03-2020,Ontario,103,0.7,9,0.1,26,0.2,0,0,0,0
11-03-2020,Ontario,104,0.7,24,0.2,21,0.1,1,0,1,0
12-03-2020,Ontario,130,0.9,37,0.2,17,0.1,4,0,0,0
13-03-2020,Ontario,154,1,36,0.2,31,0.2,5,0,0,0
14-03-2020,Ontario,145,1,31,0.2,28,0.2,5,0,0,0
15-03-2020,Ontario,187,1.3,36,0.2,38,0.3,5,0,0,0
16-03-2020,Ontario,263,1.8,53,0.4,46,0.3,11,0.1,0,0
17-03-2020,Ontario,271,1.8,58,0.4,42,0.3,10,0.1,0,0
18-03-2020,Ontario,271,1.8,57,0.4,54,0.4,10,0.1,1,0
19-03-2020,Ontario,263,1.8,65,0.4,58,0.4,9,0.1,0,0
20-03-2020,Ontario,349,2.3,97,0.7,83,0.6,9,0.1,0,0
21-03-2020,Ontario,274,1.8,71,0.5,61,0.4,21,0.1,1,0
22-03-2020,Ontario,275,1.9,85,0.6,61,0.4,18,0.1,2,0
23-03-2020,Ontario,340,2.3,143,1,75,0.5,28,0.2,2,0
24-03-2020,Ontario,276,1.9,171,1.2,56,0.4,38,0.3,5,0
25-03-2020,Ontario,305,2.1,136,0.9,62,0.4,30,0.2,4,0
26-03-2020,Ontario,290,2,247,1.7,75,0.5,62,0.4,3,0
27-03-2020,Ontario,327,2.2,291,2,61,0.4,70,0.5,4,0
28-03-2020,Ontario,315,2.1,235,1.6,62,0.4,60,0.4,8,0.1
29-03-2020,Ontario,288,1.9,227,1.5,71,0.5,55,0.4,14,0.1
30-03-2020,Ontario,382,2.6,436,2.9,67,0.5,85,0.6,18,0.1
